author;day;month;full_text;favorite_count;quote_count;reply_count;retweet_count;reply;photo;video;pm;retuit;type;score_tweet;alcance
Urresti;5;2;"#UrrestiEsNoticia:
El analista Fernando Vivas sugiere que (los medios) analicen planes de gobierno. ¡Totalmente de acuerdo! Por eso me frustra cuando en las entrevistas me preguntan temas refritazos. ¡Podemos Perú tiene soluciones para los problemas del país, no diagnósticos! https://t.co/CyTEMyezR7";103;75;48;25;0;;;;;Negative;-3;251
RLA;22;4;TOTALMENTE DE ACUERDO https://t.co/M4wAzoIEIE;1423;15;86;516;0;0;1;0;0;Positive;1;2040
RLA;7;4;TOTALMENTE DE ACUERDO: FIRMADO..! https://t.co/fbCHoaAlsU;960;10;28;292;0;1;0;1;0;Positive;1;1290
RLA;7;4;"Estimados amigos, les hago una pregunta:

¿Estás de acuerdo en erradicar la ideología de género en las escuelas?

#ElPerúConRafael
#Elecciones2021
#RafaelLópezAliaga
#RenovaciónPopular
#RafaelPresidente2021 https://t.co/uZt5UjZYio";4582;109;1470;779;0;1;0;0;0;Positive;1;6940
RLA;30;3;"Estimados amigos, les hago una pregunta:

¿Estás de acuerdo en que se apruebe la ley de identidad de género?

#NoALaIdeologíaDeGénero
#NoALaLeyTrans 
#RenovaciónPopular https://t.co/W8ZhvWfVa9";1404;142;1917;336;0;0;0;0;;Positive;1;3799
RLA;19;3;El acuerdo de Escazú es un tratado internacional que en cuestiones prácticas es el sometimiento a ONGs. Este acuerdo es un peligro para la soberanía nacional. Nosotros respetaremos el medio ambiente y los recursos naturales pero no firmaremos ¡El Perú no se vende! https://t.co/hHcj00RuSf;1042;28;63;369;0;;;;;Negative;-6;1502
RLA;18;3;@JMNH74 De acuerdo. Fake. Mira comunicado. No hagas caso a prensa mermelera.;528;5;70;102;1;;;;;Neutral;0;705
RLA;2;3;Este cómplice de Nadine y Sagasti, mantenido, sin trabajo conocido, aprueba acuerdo siniestro y exclusivo con chinos de SINOPHARM..! Sector privado, con orden y ciencia, tiene DERECHO y DEBER  de traer mejores vacunas, más rápido y más baratas, para TODOS LOS PERUANOS: Basta YA !;2809;121;963;929;0;;;;;Positive;7;4822
RLA;1;3;"Estimados amigos, les hago una pregunta:

¿Estás de acuerdo en que el Ministerio de Cultura gaste miles de soles en la serie """"Mi cuerpa, mis reglas""""?

#Elecciones2021
#RenovaciónPopular
#RafaelLópezAliaga https://t.co/aavUE5ZRgS";3351;225;2289;854;0;;;;;Positive;1;6719
RLA;18;2;@panchoperunacio Totalmente de acuerdo...!! Usar mascarilla, tomar Ivermectina, con receta médica, y SEGUIR TRABAJANDO... o te mueres de Covid o peor, te mueres de HAMBRE..!!;43;0;4;11;1;;;;;Negative;-7;58
RLA;18;2;Totalmente de acuerdo...!! Usar mascarilla, tomar Ivermectina, con receta médica, y SEGUIR TRABAJANDO... o te mueres de Covid o peor, te mueres de HAMBRE..!!;759;9;63;229;0;;;;;Negative;-7;1060
RLA;2;2;"Estimados amigos, les hago una pregunta:

¿Estás de acuerdo con la expulsión de extranjeros que delinquen en el Perú? https://t.co/j5MLFV13Cl";3791;162;1604;586;0;;;;;Positive;1;6143
RLA;2;1;"⁦Artículo de ⁦@meiermq⁩ : 

“Rafael López-Aliaga, de #RenovaciónPopular, es el único aspirante a Palacio que se ha atrevido a hablar fuerte y claro contra #Odebrecht y esa traición a la patria llamada acuerdo de colaboración eficaz (...)”. https://t.co/YsjtIH6m65";576;12;41;165;0;;;;;Positive;2;794
Urresti;12;2;"Caso Bustíos: En busca de verdadera justicia mi defensa acaba de pedir la exclusión de testigos Jorge Calvera y Serapio Cárdenas. ¡No permitiremos que acusaciones periodísticas, por muy burdas que sean, enturbien el proceso!
#MentirasContraUrresti NUNCA MÁS
@hurgamemoriaPE https://t.co/FgP2oNzoSG";69;26;72;10;0;;;;;Negative;-2;177
Urresti;30;1;"¡Empezó la campaña #MentirasContraUrresti! Hace poco viralizaron un video cuya autoría me la atribuyen de manera malévola porque aparezco allí. 
¿Este jocoso video 👇👇también me lo atribuirán? 😂😂
PD. Se vienen peores acusaciones en mi contra, lo sé. No tengo miedo. https://t.co/GvbV87DnVx";147;88;94;15;0;;;;;Negative;-3;344
RLA;5;3;"En estas últimas semanas he recibido muchos ataques incluso me quieren excluir de estas elecciones. En este video explico las acusaciones que me hacen respecto las deudas en SUNAT.

#𝗡𝗼𝗔𝗟𝗮𝗘𝘅𝗰𝗹𝘂𝘀𝗶𝗼𝗻
#𝗖𝗼𝗻𝗠𝗶𝗩𝗼𝘁𝗼𝗡𝗼𝗧𝗲𝗠𝗲𝘁𝗮𝘀
#SinRafaEsFraude
#JNECorrupto https://t.co/HoByZ3unvO";1446;95;293;510;0;;;;;Negative;-4;2344
RLA;21;2;López Aliaga sobre acusaciones del JEE: “Juntos saldremos de esta” | Política | https://t.co/oRIILD1SOc https://t.co/RKNOa4nKwW;897;1;72;239;0;;;;;Negative;-2;1209
RLA;1;4;"En el #DebatePresidencialJNE: 

“Vamos a eliminar la corrupción en Perú con el sistema de gobierno a gobierno para las obras públicas, así será todo el proceso de forma transparente, limpio, con el tiempo preciso y adecuado”. 

#RafaelGanaElDebate #RafaelPresidente2021";903;7;54;229;0;0;0;1;0;Negative;-1;1193
Urresti;7;3;Este va a ser el primer año que voy a pasar el Día de la Mujer sin ella, mi adorable mamá, ese ser divino, bondadoso y sacrificado que me sigue protegiendo así ya no esté físicamente conmigo. De su bendición vivo. 😰 https://t.co/6KevDue8xV;167;112;12;25;0;;;;;Positive;9;316
RLA;19;2;Daniel Abugattás advierte que Jorge Paredes Terry podría estar con grupos radicales | Panamericana TV https://t.co/ZV1G6DS3gq;140;0;5;40;0;;;;;Negative;-2;185
Urresti;8;3;"¡#FelizDiaDeLaMujer a todas esas guerreras, madres, esposas, hermanas, compañeras, amigas, que la luchan día a día!
PD. Soy un afortunado: tengo una esposa y dos hijas con las que nos adoramos desde siempre y para siempre. https://t.co/5l4qnbdhzi";113;91;23;28;0;;;;;Positive;2;255
HDS;21;2;"¡Queridos amigos! Les quiero compartir esta parodia que hicimos junto a Carlos Alvarez y que hace unos minutos se ha trasmitido en Willax Televisión, querido Carlos, ha sido agradable recibirte en mi casa.

https://t.co/MnH0Cujj79

#HernandoPresidente #SéCómoHacerlo 🚈";404;4;19;65;0;;;;;Positive;8;492
RLA;9;4;Estoy muy agradecido por el gran apoyo que he recibido de las mujeres del país. En mi recorrido he visto sus demandas y angustias, al verlas a ustedes veo el cimiente moral de nuestra patria. Este 11 de abril vota por el verdadero cambio, seremos potencia mundial  ¡Sí se puede! https://t.co/CqlF24nMbt;1410;20;95;381;0;0;1;0;0;Positive;8;1906
RLA;10;3;"La Caravana de la Esperanza continúa su trayectoria por la región de Piura. Muy agradecido por el recibimiento. 
¡Seguimos adelante! ¡Somos #RenovaciónPopular!

#RafaelLópezAliaga
#TsunamiCeleste
#Elecciones2021 https://t.co/jRuKMgahMH";996;13;43;284;0;;;;;Positive;7;1336
HDS;26;2;"“El enfrentamiento agudiza la crisis de la economía y agrava la pandemia. Si no cerramos esa brecha, el Perú irá desunido, irá cuesta abajo. Nosotros vamos a integrar al Perú”. - @HDeSotoPeru 

https://t.co/f2UdOUkQPq";459;4;17;93;0;;;;;Negative;-6;573
Urresti;23;1;"¡Brutal agresión a miembros de la policía! ¡ESTO NO SE PUEDE PERMITIR! Mi solidaridad con estos valerosos efectivos que hacían un operativo en el Callao. ¡Tenemos que derrotar a la delincuencia! #TodosJuntosLoPodemosTodo 
Video completo en https://t.co/eu6IXq81VB https://t.co/TYS4EPNsUA";257;81;138;58;0;;;;;Neutral;0;534
HDS;21;2;Momento alegre con el excelente Carlos Álvarez en Willax Televisión. Hoy a las 10 pm #avanzapais #HernandoPresidente #willax https://t.co/B1j5puTsih;468;2;29;48;0;;;;;Positive;29;547
Keiko;28;4;"Agradezco a mis hermanos de las comunidades nativas Ashaninkas y Shipibos. Vamos a trabajar para que accedan a mejores oportunidades, donde se respete la diversidad cultural y exista un verdadero acceso a los servicios básicos.
¡Su alegría y energía son el orgullo del Perú! 🇵🇪 https://t.co/hVnwhgE129";3040;24;362;580;0;;;;;Positive;17;4006
Keiko;24;4;Recibí con sorpresa y mucha alegría el mensaje de Kenji. Le agradezco su respaldo en este momento tan difícil para nuestro país. Hoy es muy importante la unidad de todos los peruanos. 🇵🇪 https://t.co/Xtq8BXbLiv;2936;57;618;690;0;;;;;Positive;11;4301
Keiko;2;3;¡Allá vamos otra vez!. Con gran alegría rumbo a otro destino para estar #AtuLado. https://t.co/rq4n78JD7S;1605;111;679;326;0;;;;;Positive;13;2721
Keiko;24;1;"Qué gran alegría ha sido regresar a la Selva Central. Comparto algunas imágenes de mis encuentros en Perené, Pangoa, con dirigentes de la comunidad nativa en Cubantía, Pichanaki y con Kelly en Villa Rica. 
¡Gracias por compartir sus logros, retos y preocupaciones! https://t.co/ScCDToXvzQ";1684;55;546;359;0;;;;;Positive;16;2644
RLA;18;2;DIOS YA LO TIENE EN SU GLORIA..! GRACIAS POR TODO QUERIDO FABIÁN...! DISFRUTA DE PAZ Y ALEGRÍA PARA SIEMPRE QUERIDO HERMANO..! https://t.co/k9tULyTo0e;1527;11;206;159;0;;;;;Positive;29;1903
Urresti;24;2;Alerta Perú... el monstruo de tres cabezas tiene nuevos rostros. ¡Los derrotaremos otra vez! #TodosJuntosLoPodemosTodo https://t.co/7guj015PAP;98;80;17;30;0;;;;;Negative;-1;225
RLA;26;3;"🚨🌊ALERTA TSUNAMI 🌊🚨
La Ola Celeste de Rafael López Aliaga crece y pronto arrasará con toda la corrupción de ODEBRECHT y sus socios. 🚨🚨🚨¡URGENTE!🚨🚨🚨 https://t.co/IlcDYNOogB";1966;68;139;668;0;;;;;Negative;-2;2841
RLA;10;4;"Estimados amigos, este domingo se decide el futuro de nuestro amado país. Mi postura política es provida, profamilia, patriota y con ayuda a los más necesitados, sé que juntos podemos convertir a Perú una potencia mundial. 
#RenovaciónPopular
#CongresoCeleste
#Provida
#Profamilia https://t.co/fzfEa8nOof";2637;36;178;742;0;1;0;1;0;Positive;10;3593
RLA;8;4;"Este domingo 11 de abril #TodosSomosRenovaciónPopular. Marca las 3 """"R"""" por la renovación política de nuestro amado Perú. No más corrupción, no más saqueo al pueblo peruano, no más engaño. Somos personas honesta y  daremos todo por nuestro patria.

#RafaelEnPrimeraVuelta https://t.co/02M4zOJkja";1501;19;116;416;0;0;1;0;0;Negative;-3;2052
Urresti;18;3;#UrrestiEsNoticia. Estamos listos para debatir en cualquier escenario porque tenemos el plan de gobierno más ambicioso, serio, responsable y EJECUTABLE para sacar al Perú de la tremenda crisis económica y sanitaria en la que se encuentra. #UrrestiPresidente https://t.co/MBTxxDBr53;104;133;24;17;0;;;;;Positive;3;278
Urresti;28;2;"Este debate permitirá ratificar lo que venimos diciendo: Nuestro plan de gobierno es el más ambicioso, serio, responsable y ejecutable de los últimos tiempos, y nos permitirá salir de la crisis económica y sanitaria. 
#TodosJuntosLoPodemosTodo.
#UrrestiPresidente https://t.co/3Q329jPVUN";93;60;77;21;0;;;;;Positive;3;251
Urresti;19;2;¡Todos invitados! @NicolasLucar, si me preguntas por chismes de tintes o botox... te corto!😂😂😂😂😂 Planes de Gobierno quieren los electores y nosotros tenemos el más ambicioso, serio, responsable y ejecutable.  @exitosape https://t.co/cSDrpJxmTO;91;67;29;16;0;;;;;Positive;6;203
Urresti;25;1;Carlos Anderson demuestra por qué nuestro plan de gobierno es muy serio, responsable, ambicioso y ejecutable. Imperdible debate con Raúl Salazar, jefe del plan de gobierno del partido oficialista (@partidomorado). Vía @canalN_ #TodosJuntosLoPodemosTodo #UrrestiPresidente;59;64;13;8;0;;;;;Positive;6;144
Urresti;7;4;Siempre se los dije: la amenaza contra los millones de peruanos son el Covid y el Fujimontesinisno, que ahora viene con diversos rostros y colores. https://t.co/0V9Rv7DOuW;126;49;15;27;0;;;;;Negative;-6;217
Urresti;2;3;Para tomarlo en cuenta. La delincuencia no es una percepción. ¡Es una amenaza a la que vamos a derrotar!  #TodosJuntosLoPodemosTodo https://t.co/wLN6CPo005;80;82;10;11;0;;;;;Negative;-7;183
Urresti;15;2;"Queda claro, ¿no? Urresti, el más capaz para acabar con la delincuencia, ese flagelo que te amenaza a ti y a tu familia todos los días.  
@hurgamemoriaPE, ya que tu candidato morado se está diluyendo mejor hazme barra a mí 😂😂😂!
#UrrestiPresidente
#TodosJuntosLoPodemosTodo https://t.co/jWHtuhYrhk";152;91;140;41;0;;;;;Negative;-2;424
Urresti;11;2;"Una prueba más del nexo mortal entre las drogas y la  criminalidad pura y dura. ¡Todos tenemos la obligación de acabar con esta amenaza! En mi gobierno vamos a combatir frontalmente a la delincuencia y proteger a la familia. #TodosJuntosLoPodemosTodo 
¡Gracias, @PoliciaPeru! https://t.co/WPwP5bOBoU";80;103;26;15;0;;;;;Negative;-3;224
Urresti;13;1;¡Duro golpe a los vendedores de droga! Gracias a los buenos policías y buenos vecinos que se unen a la lucha contra esta amenaza. ¡Protejamos a nuestras niñas y niños, protejamos a nuestra familia! #TodosJuntosLoPodemosTodo https://t.co/aJAXGSS3hq;102;48;33;13;0;;;;;Negative;-11;196
Urresti;8;1;Esto no es un spot, esto no es ficción, ellos no son actores de bus, es la realidad pura y dura en pleno Jr. de la Unión, es la amenaza diaria que viven millones de compatriotas en todo el Perú. ¡Esto debe parar YA. #TodosJuntosLoPodemosTodo https://t.co/1SnV1at2SW;195;92;159;37;0;;;;;Negative;-9;483
RLA;12;3;"En #PresentaciónDeEquipoTécnico: 

Tenemos una amenaza gravísima de un conjunto de fuerzas enemigas del Perú que nos pueden llevar a dictaduras similares a Venezuela o Cuba, donde lo primero que harán es hacernos perder la libertad.";1349;23;72;422;0;;;;;Negative;-6;1866
Keiko;10;3;"El Perú ha perdido demasiado por la falta de valentía y decisión de sus gobernantes. Voy a remplazar su tibieza, ineficiencia e insensibilidad por decisión, firmeza y amor de madre, que lo da todo cuando siente que su familia está en peligro.

(Video: debate @elcomercio_peru) https://t.co/f97eaeCoLD";1083;32;418;313;0;;;;;Negative;-1;1846
Keiko;25;1;"No hay mejor ejemplo de gobierno eficiente que el de una madre que saca adelante a sus hijos con amor y con firmeza. Inspirada en ellas, presento mi propuesta de gobierno. #ManoDura
(VIDEO) https://t.co/NyDwdRMYw9";2161;705;3039;501;0;;;;;Positive;5;6406
Urresti;13;3;"Ayer tuve un encuentro de amor y fuego con Peluchín y Gigi. ¡De tanta risa casi me explota el botox! Los invito a ver el programa completo en este link.  
https://t.co/wDsnbY1j9t 
cc @rodgonzalezl https://t.co/MGG3vXGqIR";146;56;37;21;0;;;;;Positive;3;260
Urresti;6;2;¡Gracias, Loreto por el apoyo! Vamos, @hurgamemoriaPE, di algo!! @WaykaPeru, @ConvocaPe, no los veo... ¿Qué pasa? ¿Se acabó el amor??? 😂😂     #TodosJuntosLoPodemosTodo. https://t.co/fljwfAa24V;57;23;30;14;0;;;;;Positive;10;124
Urresti;1;1;Abrazar a tu esposa mientras recibes el año nuevo y que ella te abrace con el mismo amor de hace más de 40 años es, simplemente, insuperable. ¡Gracias, amada familia! ¡Unidos siempre! Estamos listo para hacer historia el 2021. #TodosJuntosLoPodemosTodo https://t.co/cEwZuo2g4D;253;30;94;16;0;;;;;Positive;3;393
RLA;28;3;"Yo estoy postulando para servir a todos los peruanos, por amor a Dios, al pueblo peruano y a la patria.

#Elecciones2021
#RenovaciónPopular
#RafaelPresidente2021 https://t.co/O5PIlPN1vr";1477;28;123;397;0;;;;;Positive;3;2025
RLA;15;3;"Como hombre de fe, mi amor a la Virgen María es totalmente espiritual.

Lamento mucho los ataques y tergiversaciones de diferentes personas y medios contra la religión que comparto con millones de peruanos. Respetos guardan respetos.

#RafaelLópezAliaga
#Elecciones2021 https://t.co/YHXZLNhSHY";1507;23;89;402;0;;;;;Positive;3;2021
RLA;9;1;"He ingresado a la política por amor a Dios, a mi país y a todo el pueblo peruano.

#RafaelLópezAliaga #RenovaciónPopular https://t.co/DXQyFj34Zo";494;5;17;105;0;;;;;Positive;3;621
RLA;1;1;"Muchos me preguntan: ¿Por qué dejaste la actividad empresarial y decidiste ingresar a la política? 

Les respondo que lo hice por vocación de servicio y amor a la patria. 

En este video lo explico. https://t.co/InzpJHHYk4";589;23;52;164;0;;;;;Positive;3;828
Keiko;7;4;Tuve la oportunidad de conocer a un maravilloso hombre: Domingo, esposo de Luz Salgado. Atento, amoroso y un infatigable compañero en cada lucha que emprendía Luz. Gracias por todo, sé que junto a Dios cuidarás de todos nosotros. A su familia: mis oraciones están con ustedes.;2368;23;351;373;0;;;;;Positive;16;3115
HDS;12;4;"Queridos amigos, estamos en pleno proceso de conteo, en cuanto termine creo tener noticias interesantes para ustedes y el País.

Tengan fe en mi capacidad de transformar situaciones inciertas en éxitos.

Paciencia y buen ánimo.";23621;1104;2308;2342;0;;;;;Positive;5;29375
HDS;19;3;Don Luis Bedoya Reyes.  Un hombre apasionado por la democracia y por construir consensos, a pesar de las diferencias ideológicas o partidarias.  Para él, el Perú siempre primero. Mi más sentido pésame a la familia de un gran hombre. Vuela alto querido tucán. https://t.co/XAgu8T9D1r;960;5;13;100;0;;;;;Positive;9;1078
Urresti;15;2;@hurgamemoriaPE @deslengua_2 @LaSalitadelSin @ConvocaPe @WaykaPeru @ContraIndulto @fujitrolls @salvajedigital estoy esperando sus aplausos!!! 😂😂😂 #UrrestiPresidente;25;0;7;46;1;;;;;Positive;6;78
Urresti;15;2;"Aplausos y apoyo total. ¡Que se sepa toda la verdad!
#TodosJuntosLoPodemosTodo";53;1;7;5;0;;;;;Positive;10;66
HDS;23;3;"¡Muchas gracias @melcochita1 por tu apoyo a mi campaña!

#AvanzaPaís #DeSoto #HernandoDeSoto #Presidente2021 🚈 https://t.co/mzJ87Cbbks";1602;36;104;233;0;;;;;Positive;8;1975
Keiko;16;4;Esta tarde, con las dirigentes de las organizaciones sociales en Comas hablando del apoyo que le daremos a los Comedores Populares y a las Ollas Comunes. El fujimorismo siempre cerca del pueblo. https://t.co/jO3RRqi8D7;2435;49;596;431;0;;;;;Positive;6;3511
Keiko;22;3;"En los momentos más importantes, en los más difíciles, siempre la familia es nuestro principal soporte y apoyo. Gracias hermana, sé lo que te cuesta salir de tu perfil bajo y que esto lo haces por mí.
Te quiero!!!!! 
&gt; https://t.co/qZaG8wqJia https://t.co/Z4tVe2FmcU";2482;129;1002;558;0;;;;;Positive;8;4171
Keiko;16;3;20/11/2000: Tras la renuncia de mi padre, reuní a todos los trabajadores de Palacio para agradecerles, en su nombre y el mío, todo su apoyo. Tenía 25 años y desde ese día dije que enfrentaría toda la persecución que se venía. Y la vengo enfrentando por más de 20 años. (VIDEO) https://t.co/ZIHeeMD73I;1562;88;759;452;0;;;;;Positive;5;2861
Keiko;12;3;La fuerza de las #mujeres ha sido fundamental para enfrentar la pandemia a través de los comedores populares y las ollas comunes, como me mostraron las madres organizadas de #Mala, Lima. Tenemos un plan para ellas con un apoyo decidido del Estado. ¡Vamos con todo! 🇵🇪 https://t.co/GFdCp0vVuH;792;10;110;222;0;;;;;Positive;8;1134
Keiko;8;2;Es cierto que faltan muchos y no es suficiente, pero más cierto es que la solución tan esperada por todos ya está en marcha. Invoco al presidente Sagasti a seguir adelante en su esfuerzo de vacunar a todos los peruanos. En eso, cuenta con nuestro apoyo. (2/2);553;14;183;116;1;;;;;Positive;10;866
Keiko;7;2;Quiero compartir con ustedes el Perú que yo veo el 2026, si con su apoyo llego a la presidencia para volver a rescatar a nuestro país. (Artículo publicado hoy en el diario @elcomercio_peru ) https://t.co/Tfutil0MpG;1281;167;1557;330;0;;;;;Positive;7;3335
Keiko;17;1;El gran rescate económico del país, en momentos tan dramáticos, empieza por la economía familiar de personas como Diana y Erick de San Juan de Lurigancho. Millones de peruanos como ellos necesitan apoyo real del Estado para volver a empezar. #AtuLadoconCuidado https://t.co/q1aDEMBh5Z;1576;68;825;346;0;;;;;Positive;6;2815
Urresti;10;3;"En un candente debate entre los cinco candidatos que lideramos las encuestas demostré que cuento con el mejor plan de gobierno. 
Aplicaré esas medidas urgentes en mis primeros 100 días de gobierno. ¡Gracias por tu apoyo, Perú!  #UrrestiPresidente. #UrrestiYaGanó https://t.co/8U7s5DXVNe";155;80;73;22;0;;;;;Positive;11;330
Urresti;7;3;Los organizadores del debte lo publicarán mañana. Les aviso con tiempo. Gracias por tu apoyo!! #UrrestiPresidente;53;1;7;8;0;;;;;Positive;6;69
Urresti;27;2;"No quería irme a dormir sin compartir con ustedes esta buena noticia. Gracias por vuestro apoyo, @hurgamemoriaPE @noakeikope, @deslengua_2, @LaSalitadelSin @WaykaPeru, @ConvocaPe. Sueñen con los angelitos. 😉 
#JusticiaParaUrresti https://t.co/NYAXgJHoTH";74;66;19;19;0;;;;;Positive;8;178
Urresti;12;1;Estimados compatriotas, ya salieron los banners y carteles de apoyo a #UrrestiPresidente. Desde ya les agradezco que lo puedan lucir en sus casas o negocios. Solo tienen que contactarse a este Whatsapp 947483769 #TodosJuntosLoPodemosTodo https://t.co/dVU2UNMNYf;145;96;98;14;0;;;;;Positive;4;353
Urresti;8;1;Nuestros valerosos policías, a pesar de su poca logística, de los ataques, insultos y humillaciones y del cero apoyo del gobierno morado, lograron capturar en tiempo récord a los malditos del Jr. De la Unión. ¡Esa es la policía por la que siempre sacaré pecho! https://t.co/lyIEqdxbmP;320;63;110;28;0;;;;;Positive;1;521
